id,id_fantacalcio,nome,squadra_fc,id_giocatore,aggiornato_il
4370,6207,Almqvist,PAR,,2026-09-22 22:14:31.097902+00:00
4371,5851,Doig,SAS,,2026-09-22 22:14:31.097902+00:00
4372,7036,Bakola,SAS,,2026-09-22 22:14:31.097902+00:00
4373,6642,Coco,TOR,,2026-09-22 22:14:31.097902+00:00
4374,7060,Cacciamani,TOR,,2026-09-22 22:14:31.097902+00:00
4375,5888,Casadei,TOR,,2026-09-22 22:14:31.097902+00:00
4376,6462,Okoye,UDI,,2026-09-22 22:14:31.097902+00:00
4377,4994,Vojvoda,UDI,,2026-09-22 22:14:31.097902+00:00
4378,6821,Hainaut,VEN,,2026-09-22 22:14:31.097902+00:00
4379,6904,Yeboah J.,VEN,,2026-09-22 22:14:31.097902+00:00
4380,6727,Couto,COM,,2026-09-22 22:14:31.097902+00:00
4381,7546,Robinson J.,MON,,2026-09-22 22:14:31.097902+00:00
4382,530,Pellegrini Lo.,ROM,,2026-09-22 22:14:31.097902+00:00
4383,7564,Leysen F.,SAS,,2026-09-22 22:14:31.097902+00:00
4384,7612,Bobcek,FRO,,2026-09-22 22:14:31.097902+00:00
4385,5675,Theate,BOL,,2026-09-22 22:14:31.097902+00:00
4386,4705,Balerdi,ROM,,2026-09-22 22:14:31.097902+00:00
4387,4137,Diego Carlos,PAR,,2026-09-22 22:14:31.097902+00:00
4388,6344,Sanchez Ro.,COM,,2026-09-22 22:14:31.097902+00:00
4389,787,Djimsiti,ATA,,2026-09-22 22:14:31.097902+00:00
4390,554,Zappacosta,ATA,,2026-09-22 22:14:31.097902+00:00
4391,2077,Pasalic,ATA,,2026-09-22 22:14:31.097902+00:00
4392,2765,Odgaard,BOL,,2026-09-22 22:14:31.097902+00:00
4393,6010,Fazzini,CAG,,2026-09-22 22:14:31.097902+00:00
4394,7412,Milla,COM,,2026-09-22 22:14:31.097902+00:00
4395,4952,Monterisi,FRO,,2026-09-22 22:14:31.097902+00:00
4396,5791,Frendrup,GEN,,2026-09-22 22:14:31.097902+00:00
4397,6917,Masini,FRO,,2026-09-22 22:14:31.097902+00:00
4398,4970,Messias,GEN,,2026-09-22 22:14:31.097902+00:00
4399,6164,Vitinha O.,GEN,,2026-09-22 22:14:31.097902+00:00
4400,5520,Cambiaso,JUV,,2026-09-22 22:14:31.097902+00:00
4401,2134,Falcone,LEC,,2026-09-22 22:14:31.097902+00:00
4402,5029,Geubbels,LEC,,2026-09-22 22:14:31.097902+00:00
4403,6496,Bartesaghi,MIL,,2026-09-22 22:14:31.097902+00:00
4404,5838,Birindelli,MON,,2026-09-22 22:14:31.097902+00:00
4405,2170,Milinkovic-Savic V.,NAP,,2026-09-22 22:14:31.097902+00:00
4406,6641,Suzuki,PAR,,2026-09-22 22:14:31.097902+00:00
4407,7529,Koulierakis,ROM,,2026-09-22 22:14:31.097902+00:00
4408,6672,Idzes,SAS,,2026-09-22 22:14:31.097902+00:00
4409,6717,Konè I.,SAS,,2026-09-22 22:14:31.097902+00:00
4410,6495,Comuzzo,TOR,,2026-09-22 22:14:31.097902+00:00
4411,5010,Ismajli,TOR,,2026-09-22 22:14:31.097902+00:00
4412,6827,Njie,FIO,,2026-09-22 22:14:31.097902+00:00
4413,6021,Abankwah,UDI,,2026-09-22 22:14:31.097902+00:00
4414,7272,Gueye,UDI,,2026-09-22 22:14:31.097902+00:00
4415,5507,Busio,VEN,,2026-09-22 22:14:31.097902+00:00
4416,5946,Sow,GEN,,2026-09-22 22:14:31.097902+00:00
4417,7580,Sutalo J.,LAZ,,2026-09-22 22:14:31.097902+00:00
4418,7618,Hutchinson,MIL,,2026-09-22 22:14:31.097902+00:00
4419,7220,Belghali,TOR,,2026-09-22 22:14:31.097902+00:00
4420,5680,Sarr P.,JUV,,2026-09-22 22:14:31.097902+00:00
4421,7620,Zeballos,MON,,2026-09-22 22:14:31.097902+00:00
4422,6833,Mbangula,BOL,,2026-09-22 22:14:31.097902+00:00
4423,7623,Gnonto,FIO,,2026-09-22 22:14:31.097902+00:00
4424,7624,Braganca,TOR,,2026-09-22 22:14:31.097902+00:00
4425,795,El Shaarawy,GEN,,2026-09-22 22:14:31.097902+00:00
4426,6046,Hien,ATA,,2026-09-22 22:14:31.097902+00:00
4427,2640,Kolasinac,ATA,,2026-09-22 22:14:31.097902+00:00
4428,6916,Ahanor,ATA,,2026-09-22 22:14:31.097902+00:00
4429,4364,Gaetano,ATA,,2026-09-22 22:14:31.097902+00:00
4430,5422,Zalewski,ATA,,2026-09-22 22:14:31.097902+00:00
4431,5678,Holm,BOL,,2026-09-22 22:14:31.097902+00:00
4432,4433,Zortea,BOL,,2026-09-22 22:14:31.097902+00:00
4433,7268,Rodriguez Ju.,CAG,,2026-09-22 22:14:31.097902+00:00
4434,6598,Mutandwa,CAG,,2026-09-22 22:14:31.097902+00:00
4435,5036,Caqueret,COM,,2026-09-22 22:14:31.097902+00:00
4436,7332,Bijlow,GEN,,2026-09-22 22:14:31.097902+00:00
4437,218,Perin,JUV,,2026-09-22 22:14:31.097902+00:00
4438,2832,Boga,JUV,,2026-09-22 22:14:31.097902+00:00
4439,460,Romagnoli,LAZ,,2026-09-22 22:14:31.097902+00:00
4440,4459,Rovella,LAZ,,2026-09-22 22:14:31.097902+00:00
4441,6990,Veiga D.,LEC,,2026-09-22 22:14:31.097902+00:00
4442,4502,Gallo,LEC,,2026-09-22 22:14:31.097902+00:00
4443,6549,Pierotti,LEC,,2026-09-22 22:14:31.097902+00:00
4444,7252,Stulic,LEC,,2026-09-22 22:14:31.097902+00:00
4445,4401,Gabbia,MIL,,2026-09-22 22:14:31.097902+00:00
4446,5739,De Winter,MIL,,2026-09-22 22:14:31.097902+00:00
4447,7008,Gimenez,MIL,,2026-09-22 22:14:31.097902+00:00
4448,5882,Mota,MON,,2026-09-22 22:14:31.097902+00:00
4449,5131,Gilmour,NAP,,2026-09-22 22:14:31.097902+00:00
4450,6663,Circati,PAR,,2026-09-22 22:14:31.097902+00:00
4451,6898,Keita M.,PAR,,2026-09-22 22:14:31.097902+00:00
4452,6666,Bernabè,PAR,,2026-09-22 22:14:31.097902+00:00
4453,7526,Comert,TOR,,2026-09-22 22:14:31.097902+00:00
4454,7535,Fitz-Jim,TOR,,2026-09-22 22:14:31.097902+00:00
4455,6218,Oristanio,TOR,,2026-09-22 22:14:31.097902+00:00
4456,7349,Kulenovic,TOR,,2026-09-22 22:14:31.097902+00:00
4457,7198,Piotrowski,UDI,,2026-09-22 22:14:31.097902+00:00
4458,6783,Unai Gomez,UDI,,2026-09-22 22:14:31.097902+00:00
4459,4845,Correia T.,VEN,,2026-09-22 22:14:31.097902+00:00
4460,7449,Rrahmani Al.,VEN,,2026-09-22 22:14:31.097902+00:00
4461,7561,Lontani,PAR,,2026-09-22 22:14:31.097902+00:00
4462,6618,Cissè A.,MIL,,2026-09-22 22:14:31.097902+00:00
4463,7563,Favasuli,NAP,,2026-09-22 22:14:31.097902+00:00
4464,7069,Fortini,TOR,,2026-09-22 22:14:31.097902+00:00
4465,4479,Elmas,ATA,,2026-09-22 22:14:31.097902+00:00
4466,4664,Badiashile,NAP,,2026-09-22 22:14:31.097902+00:00
4467,7619,Monteiro J.,LEC,,2026-09-22 22:14:31.097902+00:00
4468,4147,Caleta-Car,SAS,,2026-09-22 22:14:31.097902+00:00
