id,Giocatore_Supa,Giocatore_TM,detentore_cartellino,Club_Supa,Club_TM,name_clean,nome_clean
739,Oudin,Rémi Oudin,Svincolato,Lecce,Unione Sportiva Lecce,remi oudin,oudin
637,Braunoder,Matthias Braunöder,Svincolato,Como,Calcio Como,matthias braunoder,braunoder
559,Partipilo,Anthony Partipilo,Svincolato,Parma,Parma Calcio 1913,anthony partipilo,partipilo
833,Verdi,Simone Verdi,Svincolato,Como,Calcio Como,simone verdi,verdi
633,Haj Mohamed,Anas Haj Mohamed,Svincolato,Parma,Parma Calcio 1913,anas haj mohamed,haj mohamed
787,Vlahovic V.,Vanja Vlahović,Svincolato,Atalanta,Atalanta Bergamasca Calcio S.p.a.,vanja vlahovic,vlahovic v.
723,Baselli,Daniele Baselli,Svincolato,Como,Calcio Como,daniele baselli,baselli
886,Bowie,Kieron Bowie,Svincolato,Verona,Verona Hellas Football Club,kieron bowie,bowie
890,Boga,Jérémie Boga,AC Ciaccati,Juventus,Juventus Football Club,jeremie boga,boga
281,Slotsager,Tobias Slotsager,Svincolato,Verona,Verona Hellas Football Club,tobias slotsager,slotsager
325,Tsimikas,Konstantinos Tsimikas,Svincolato,Roma,Associazione Sportiva Roma,konstantinos tsimikas,tsimikas
364,Comuzzo,Pietro Comuzzo,FC Pontos,Fiorentina,Associazione Calcio Fiorentina,pietro comuzzo,comuzzo
395,Zappa,Gabriele Zappa,Diaolo Porco,Cagliari,Cagliari Calcio,gabriele zappa,zappa
357,Pedersen,Marcus Pedersen,Diablitos FC,Torino,Torino Calcio,marcus pedersen,pedersen
433,Maripan,Guillermo Maripán,Sborada,Torino,Torino Calcio,guillermo maripan,maripan
387,Muharemovic,Tarik Muharemović,Sborada,Sassuolo,Unione Sportiva Sassuolo Calcio,tarik muharemovic,muharemovic
367,Bernasconi,Lorenzo Bernasconi,FC Pontos,Atalanta,Atalanta Bergamasca Calcio S.p.a.,lorenzo bernasconi,bernasconi
448,Coco,Saúl Coco,FC Sovescio,Torino,Torino Calcio,saul coco,coco
363,Dodò,Dodô,ZeroDayz FC,Fiorentina,Associazione Calcio Fiorentina,dodo,dodo
432,Solet,Oumar Solet,Baby Reijnders,Udinese,Udinese Calcio,oumar solet,solet
493,Nava,Lapo Nava,Svincolato,Cremonese,Unione Sportiva Cremonese S.p.A.,lapo nava,nava
524,Carnesecchi,Marco Carnesecchi,Diablitos FC,Atalanta,Atalanta Bergamasca Calcio S.p.a.,marco carnesecchi,carnesecchi
687,Caputo,Francesco Caputo,Svincolato,Empoli,FC Empoli,francesco caputo,caputo
751,Candela,Antonio Candela,Svincolato,Venezia,Venezia FC,antonio candela,candela
702,Petagna,Andrea Petagna,Svincolato,Monza,AC Monza,andrea petagna,petagna
