id,giro,numero,detentore_att,detentore_originale,id_giocatore_scelto,anno
402,2,,Al-Colizzati,Al-Colizzati,,2037-01-01
412,3,,Al-Colizzati,Al-Colizzati,,2037-01-01
422,1,,Al-Colizzati,Al-Colizzati,,2038-01-01
432,2,,Al-Colizzati,Al-Colizzati,,2038-01-01
442,3,,Al-Colizzati,Al-Colizzati,,2038-01-01
452,1,,Al-Colizzati,Al-Colizzati,,2039-01-01
462,2,,Al-Colizzati,Al-Colizzati,,2039-01-01
472,3,,Al-Colizzati,Al-Colizzati,,2039-01-01
482,1,,Al-Colizzati,Al-Colizzati,,2040-01-01
492,2,,Al-Colizzati,Al-Colizzati,,2040-01-01
502,3,,Al-Colizzati,Al-Colizzati,,2040-01-01
512,1,,Al-Colizzati,Al-Colizzati,,2041-01-01
522,2,,Al-Colizzati,Al-Colizzati,,2041-01-01
532,3,,Al-Colizzati,Al-Colizzati,,2041-01-01
542,1,,Al-Colizzati,Al-Colizzati,,2042-01-01
552,2,,Al-Colizzati,Al-Colizzati,,2042-01-01
562,3,,Al-Colizzati,Al-Colizzati,,2042-01-01
572,1,,Al-Colizzati,Al-Colizzati,,2043-01-01
582,2,,Al-Colizzati,Al-Colizzati,,2043-01-01
592,3,,Al-Colizzati,Al-Colizzati,,2043-01-01
602,1,,Al-Colizzati,Al-Colizzati,,2044-01-01
612,2,,Al-Colizzati,Al-Colizzati,,2044-01-01
622,3,,Al-Colizzati,Al-Colizzati,,2044-01-01
632,1,,Al-Colizzati,Al-Colizzati,,2045-01-01
642,2,,Al-Colizzati,Al-Colizzati,,2045-01-01
652,3,,Al-Colizzati,Al-Colizzati,,2045-01-01
662,1,,Al-Colizzati,Al-Colizzati,,2046-01-01
672,2,,Al-Colizzati,Al-Colizzati,,2046-01-01
682,3,,Al-Colizzati,Al-Colizzati,,2046-01-01
692,1,,Al-Colizzati,Al-Colizzati,,2047-01-01
702,2,,Al-Colizzati,Al-Colizzati,,2047-01-01
712,3,,Al-Colizzati,Al-Colizzati,,2047-01-01
722,1,,Al-Colizzati,Al-Colizzati,,2048-01-01
732,2,,Al-Colizzati,Al-Colizzati,,2048-01-01
742,3,,Al-Colizzati,Al-Colizzati,,2048-01-01
62,1,2.0,Al-Colizzati,Al-Colizzati,,2026-01-01
72,2,12.0,Al-Colizzati,Al-Colizzati,,2026-01-01
82,3,22.0,Al-Colizzati,Al-Colizzati,,2026-01-01
752,1,,Al-Colizzati,Al-Colizzati,,2049-01-01
762,2,,Al-Colizzati,Al-Colizzati,,2049-01-01
772,3,,Al-Colizzati,Al-Colizzati,,2049-01-01
782,1,,Al-Colizzati,Al-Colizzati,,2050-01-01
792,2,,Al-Colizzati,Al-Colizzati,,2050-01-01
802,3,,Al-Colizzati,Al-Colizzati,,2050-01-01
812,1,,Al-Colizzati,Al-Colizzati,,2051-01-01
822,2,,Al-Colizzati,Al-Colizzati,,2051-01-01
832,3,,Al-Colizzati,Al-Colizzati,,2051-01-01
842,1,,Al-Colizzati,Al-Colizzati,,2052-01-01
852,2,,Al-Colizzati,Al-Colizzati,,2052-01-01
862,3,,Al-Colizzati,Al-Colizzati,,2052-01-01
872,1,,Al-Colizzati,Al-Colizzati,,2053-01-01
882,2,,Al-Colizzati,Al-Colizzati,,2053-01-01
892,3,,Al-Colizzati,Al-Colizzati,,2053-01-01
902,1,,Al-Colizzati,Al-Colizzati,,2054-01-01
912,2,,Al-Colizzati,Al-Colizzati,,2054-01-01
922,3,,Al-Colizzati,Al-Colizzati,,2054-01-01
932,1,,Al-Colizzati,Al-Colizzati,,2055-01-01
942,2,,Al-Colizzati,Al-Colizzati,,2055-01-01
952,3,,Al-Colizzati,Al-Colizzati,,2055-01-01
962,1,,Al-Colizzati,Al-Colizzati,,2056-01-01
972,2,,Al-Colizzati,Al-Colizzati,,2056-01-01
982,3,,Al-Colizzati,Al-Colizzati,,2056-01-01
68,1,10.0,Metodo Monchi FC,Metodo Monchi FC,,2026-01-01
78,2,20.0,Metodo Monchi FC,Metodo Monchi FC,,2026-01-01
88,3,30.0,Metodo Monchi FC,Metodo Monchi FC,,2026-01-01
