id,nome,squadra_att,detentore_cartellino,club,quot_att_mantra,tipo_contratto,ruolo,costo,priorita
748,Ravanelli,Svincolato,Svincolato,Cremonese,2,Svincolato,{Dc},0,0
749,Fila,Svincolato,Svincolato,Venezia,8,Svincolato,{Pc},0,0
750,Haas,Svincolato,Svincolato,Empoli,2,Svincolato,"{M,C}",0,0
751,Mbangula,Svincolato,Svincolato,Juventus,12,Svincolato,{A},0,0
752,Berardi A.,Svincolato,Svincolato,Verona,1,Svincolato,{Por},0,0
753,El Haddad,Svincolato,Svincolato,Venezia,1,Svincolato,{T},0,0
754,Cruz,Svincolato,Svincolato,Verona,1,Svincolato,{Pc},0,0
755,Sala M.,Svincolato,Svincolato,Lecce,1,Svincolato,"{Ds,E}",0,0
756,Radu I.,Svincolato,Svincolato,Venezia,8,Svincolato,{Por},0,0
757,Martins K.,Svincolato,Svincolato,Monza,3,Svincolato,"{E,W}",0,0
758,De Marzi,Svincolato,Svincolato,Roma,1,Svincolato,{Por},0,0
759,Alidou,Svincolato,Svincolato,Verona,1,Svincolato,{W},0,0
760,Lazovic,Svincolato,Svincolato,Verona,10,Svincolato,{W},0,0
761,Rui Patricio,Svincolato,Svincolato,Atalanta,1,Svincolato,{Por},0,0
762,Pizzignacco,Svincolato,Svincolato,Monza,2,Svincolato,{Por},0,0
763,Cassandro,Svincolato,Svincolato,Como,1,Svincolato,"{Dd,Ds,E}",0,0
764,Sensi,Svincolato,Svincolato,Monza,5,Svincolato,"{C,T}",0,0
765,Moreno M.,Svincolato,Svincolato,Fiorentina,1,Svincolato,{Dc},0,0
766,Alli,Svincolato,Svincolato,Como,1,Svincolato,{T},0,0
767,Stolz,Svincolato,Svincolato,Genoa,1,Svincolato,{Por},0,0
768,Linetty,Svincolato,Svincolato,Torino,4,Svincolato,"{M,C}",0,0
769,Abankwah,Svincolato,Svincolato,Udinese,3,Svincolato,"{Dd,Dc}",0,0
770,Yeboah J.,Svincolato,Svincolato,Venezia,8,Svincolato,"{W,T}",0,0
771,Braunoder,Svincolato,Svincolato,Como,1,Svincolato,"{M,C}",0,0
772,Pedrola,Svincolato,Svincolato,Bologna,1,Svincolato,"{W,A}",0,0
773,Badelj,Svincolato,Svincolato,Genoa,6,Svincolato,"{M,C}",0,0
774,Lambourde,Svincolato,Svincolato,Verona,2,Svincolato,{A},0,0
775,Bettella,Svincolato,Svincolato,Monza,2,Svincolato,{Dc},0,0
776,Vogliacco,Svincolato,Svincolato,Genoa,4,Svincolato,"{Dd,Dc}",0,0
777,Ndoye,Svincolato,Svincolato,Bologna,18,Svincolato,{W},0,0
778,Pessina,Svincolato,Svincolato,Monza,2,Svincolato,"{M,C}",0,0
779,Mutandwa,Svincolato,Svincolato,Cagliari,2,Svincolato,{Pc},0,0
780,Wieteska,Svincolato,Svincolato,Cagliari,1,Svincolato,{Dc},0,0
781,Zanimacchia,Svincolato,Svincolato,Cremonese,4,Svincolato,{W},0,0
782,Karamoh,Svincolato,Svincolato,Torino,6,Svincolato,{A},0,0
783,Osimhen,Svincolato,Svincolato,Napoli,34,Svincolato,{Pc},0,0
784,Kyriakopoulos,Svincolato,Svincolato,Monza,11,Svincolato,"{Ds,E}",0,0
785,Vlahovic V.,Svincolato,Svincolato,Atalanta,2,Svincolato,{Pc},0,0
786,Giannetti L.,Svincolato,Svincolato,Udinese,3,Svincolato,{Dc},0,0
787,Liberali,FC Pontos,FC Pontos,Milan,1,Primavera,"{W,T}",0,0
788,Dawidowicz,Svincolato,Svincolato,Verona,4,Svincolato,{Dc},0,0
789,Marcone,Svincolato,Svincolato,Parma,1,Svincolato,{Por},0,0
790,Sazonov,Svincolato,Svincolato,Empoli,1,Svincolato,{Dc},0,0
791,Alberto Costa,Svincolato,Svincolato,Juventus,5,Svincolato,"{Dd,E}",0,0
792,Marin R.,ZeroDayz FC,ZeroDayz FC,Napoli,2,Prestito Reale,{Dc},6,0
793,Bertinato,Svincolato,Svincolato,Venezia,1,Svincolato,{Por},0,0
794,Ibrahimovic A.,Svincolato,Svincolato,Lazio,1,Svincolato,"{W,T}",0,0
795,Ekong,Svincolato,Svincolato,Empoli,4,Svincolato,{A},0,0
796,Kvaratskhelia,Svincolato,Svincolato,Napoli,26,Svincolato,{A},0,0
797,Matturro,Svincolato,Svincolato,Genoa,2,Svincolato,{Dc},0,0
798,Ganvoula,Svincolato,Svincolato,Monza,4,Svincolato,{Pc},0,0
799,Esteves G.,Diablitos FC,Diablitos FC,Udinese,2,Primavera,"{Dd,Ds,E}",0,0
800,Retegui,Svincolato,Svincolato,Atalanta,40,Svincolato,{Pc},0,0
801,Le Fee,Svincolato,Svincolato,Roma,3,Svincolato,"{C,T}",0,0
802,Cissè A.,Svincolato,Svincolato,Verona,1,Svincolato,"{W,T}",0,0
803,Ghion,Svincolato,Svincolato,Sassuolo,4,Svincolato,"{M,C}",0,0
804,Solbakken,Svincolato,Svincolato,Empoli,2,Svincolato,{A},0,0
805,Camara D.,Svincolato,Svincolato,Parma,3,Svincolato,"{C,T}",0,0
806,Mario Rui,Svincolato,Svincolato,Napoli,1,Svincolato,{E},0,0
807,Pereiro,Svincolato,Svincolato,Genoa,2,Svincolato,"{W,T}",0,0
808,Weah,Svincolato,Metodo Monchi FC,Juventus,7,Prestito Reale,"{E,W}",2,0
809,Alvarez A.,Svincolato,Svincolato,Sassuolo,1,Svincolato,{Pc},0,0
810,Ebosele,Svincolato,Svincolato,Udinese,3,Svincolato,"{Dd,E}",0,0
811,Jajalo,Svincolato,Svincolato,Venezia,1,Svincolato,"{M,C}",0,0
812,Castellanos,Svincolato,Svincolato,Lazio,18,Svincolato,{Pc},36,0
813,Azon,Svincolato,Svincolato,Como,1,Svincolato,{Pc},0,0
814,Lucchesi,Svincolato,Svincolato,Venezia,1,Svincolato,{Dc},0,0
815,Reina,Svincolato,Svincolato,Como,3,Svincolato,{Por},0,0
816,Listkowski,Svincolato,Svincolato,Lecce,1,Svincolato,{W},0,0
817,Kowalski,Svincolato,Svincolato,Parma,1,Svincolato,{A},0,0
818,Keita B.,Svincolato,Svincolato,Monza,9,Svincolato,{A},0,0
819,Caldirola,Svincolato,Svincolato,Monza,2,Svincolato,"{Ds,Dc}",0,0
820,Jovic,Svincolato,Svincolato,Milan,12,Svincolato,{Pc},0,0
821,Abraham,Svincolato,Baby Reijnders,Milan,10,Prestito Reale,{Pc},8,0
822,Maric,Svincolato,Svincolato,Venezia,3,Svincolato,{Pc},0,0
823,Duncan,Svincolato,Svincolato,Venezia,2,Svincolato,{C},0,0
824,Kovalenko,Svincolato,Svincolato,Empoli,4,Svincolato,"{C,T}",0,0
825,Castagnetti,Svincolato,Svincolato,Cremonese,3,Svincolato,"{M,C}",0,0
826,Arena,Svincolato,Svincolato,Pisa,1,Svincolato,"{W,T}",0,0
827,Sambia,Svincolato,Svincolato,Empoli,2,Svincolato,"{Dd,E}",0,0
828,Guendouzi,Svincolato,Svincolato,Lazio,13,Svincolato,{C},8,0
829,Belardinelli,Svincolato,Svincolato,Empoli,1,Svincolato,"{M,C}",0,0
830,Abildgaard,Svincolato,Svincolato,Como,1,Svincolato,"{M,C}",0,0
831,Godfrey,Svincolato,CyberDucks,Atalanta,1,Prestito Reale,"{B,Dd,Ds}",0,0
832,Dani Silva,Svincolato,Svincolato,Verona,2,Svincolato,"{M,C}",0,0
833,Sansone,Svincolato,Svincolato,Lecce,1,Svincolato,{A},0,0
