id,evento,data,stagione
189,Diaolo porco acquista Caqueret per 6 crediti,2025-08-04,25-26
190,Diablitos FC riceve 5 crediti dalla cessione di Erlic al Midtiylland,2025-08-04,25-26
191,Sborada acquista Muharemovic per 12 crediti,2025-08-04,25-26
192,Sborada acquista Valentini per 3 crediti,2025-08-04,25-26
197,ZeroDayz FC riceve 22 crediti perla cessione di Raspadori all'Atletico Madrid,2025-08-11,25-26
198,Baby Reijnders acquista Atta a 12 crediti,2025-08-12,25-26
199,Baby Reijnders riceve 6 crediti per la cessione di Thauvin al Lens,2025-08-12,25-26
200,Baby Reijnders riceve 9 crediti per la cessione di Man al PSV,2025-08-12,25-26
201,Ac Ciaccati acquista Pellegrino a 1 credito,2025-08-12,25-26
202,Sovecio riceve 35 crediti per la cessione di Thiaw al Newcastle,2025-08-13,25-26
203,Diablitos FC acquista Lazaro a 1 credito,2025-08-13,25-26
204,Diablitos FC acquista Kone a 1 credito,2025-08-15,25-26
205,ZeroDayz FC acquista Dominguez per 31 crediti,2025-08-17,25-26
206,Ac ciaccati acquista Pierotti per 1 credito,2025-08-17,25-26
207,Scambio prestiti: cyberducks riceve Keita + 3 crediti; ZeroDayz FC riceve sohm,2025-08-17,25-26
208,Sborada riceve 13 crediti per la cessione di Tchatchoua ai Wolves,2025-08-19,25-26
209,Ac ciaccati svincola Abdulhamid al costo di 1 crediti,2025-08-19,25-26
210,Sborada acquista Barbieri a 1,2025-08-21,25-26
211,Diaolo porco riceve 19 crediti per la cessione di Okafor al Leeds,2025-08-21,25-26
212,Diablitos FC acquista Gutierrez a 23 crediti,2025-08-21,25-26
214,Baby Reijnders acquista Terraciano (Cremonese) a 1 credito,2025-08-22,25-26
215,FC Pontos acquista Collocolo a 1 credito,2025-08-22,25-26
217,Diaolo porco acquista kempf a 1 credito,2025-08-23,25-26
219,Diaolo porco acquista Unai Nunez a 5 crediti,2025-08-23,25-26
221,Sborada acquista Canestrelli a 5 crediti,2025-08-23,25-26
222,FC Pontos acquista Vandeputte a 1 credito,2025-08-24,25-26
225,Diablitos FC acquista Rowe a 35 crediti,2025-08-28,25-26
151,Cyberducks acquista Lauriente (Sassuolo) per 23 crediti,2025-07-12,25-26
224,Ac ciaccati cede Vlasic ad ZeroDayz FC (24cr + 2 bonus),2025-08-27,25-26
164,FC Pontos riceve 2 crediti per la cessione di Marin al AEK di Atene,2025-07-24,25-26
196,"Diablitos FC cede Estupinan a FC Pontos (prestito oneroso 9cr, dir risc 35cr)",2025-08-11,25-26
155,FC Sovescio acquista Modric (Milan) per 9 crediti,2025-07-17,25-26
169,FC Sovescio riceve 2 crediti per la cessione di Bani al Palermo,2025-07-28,25-26
173,Scambio: ZeroDayz FC riceve samardzic; FC Sovescio riceve 17 crediti,2025-07-31,25-26
182,FC Sovescio acquista Israel per 21 crediti,2025-08-01,25-26
149,Metodo Monchi FC acquista Berardi (Sassuolo) per 56 crediti,2025-07-11,25-26
171,Metodo Monchi FC acquista Wesley a 40 crediti,2025-07-31,25-26
193,Metodo Monchi FC acquista Ostigard per 2 crediti,2025-08-06,25-26
194,Metodo Monchi FC riceve 1 credito per la cessione in prestito di Weah al Marsiglia,2025-08-06,25-26
218,Scambio: Metodo Monchi FC riceve gaspar; ZeroDayz FC riceve 6 crediti + prestito de Vrij (con opzioni),2025-08-23,25-26
172,Maxi Scambio a 3: Diablitos FC riceve Gudmunson + 30cr; Metodo Monchi FC riceve DeKatelare; ZeroDayz FC riceve Dybala + Dodo,2025-07-31,25-26
228,Diablitos FC acquista Troilio a 1 credito,2025-08-30,25-26
229,Scambio prestiti: Diablitos FC riceve Torriani; FC Pontos riceve Miretti,2025-08-30,25-26
230,Ac ciaccati riceve 2 crediti per la cessione di taremi all'olympiacos,2025-08-31,25-26
232,Diaolo Porco svincola Bove al costo di 1 credito,2025-09-01,25-26
233,Sborada svincola terracciano al costo di 1 credito,2025-09-01,25-26
234,Ac ciaccati svincola Guilbert a 1 credito,2025-09-01,25-26
235,Scambio prestiti: Sborada riceve Sabelli e Spinazzola; Diaolo Porco riceve Asllani e Cristante,2025-09-01,25-26
236,Ac ciaccati riceve 3 crediti per la cessione di Luiz in prestito al Nottingham,2025-09-01,25-26
239,"FC Pontos, in accordo con Diablitos FC termina anticipatamente il prestito di Torriani",2025-09-01,25-26
240,Ac ciaccati svincola Adli per 1 credito,2025-09-01,25-26
241,Diablitos FC svincola Suslov pagando 4 crediti,2025-09-01,25-26
245,AC Ciaccati riceve 0 crediti per la cessione in prestito di Cukweze al Fulham,2025-09-02,25-26
246,Sborada acquista Lezzerini a 1 credito,2025-09-02,25-26
247,Sborada acquista Martinelli a 1 credito,2025-09-02,25-26
249,FC Pontos cede in prestito gratuito Alberto Moreno alla squadra Diablitos FC,2025-09-02,25-26
252,Scambio: FC Pontos riceve Ricci e 10 crediti; Diablitos FC riceve Chalanoglu,2025-09-02,25-26
254,Scambio: Sborada Riceve Pellegrino; AC Ciaccati riceve Odgard,2025-09-02,25-26
255,Zerodayz FC acquista Toure a 1 credito,2025-09-03,25-26
256,Diaolo Porco acquista Juan Jesus a 1 credito,2025-09-03,25-26
257,Ac Ciaccati acquista Hojlund a 70 crediti,2025-09-03,25-26
258,Cyberducks riceve 0 crediti per la cessione in prestito di Mitrovic all'Excelsior,2025-09-04,25-26
259,Ac Ciaccati acquista Rabiot a 41 crediti,2025-09-04,25-26
260,Diablitos FC acquista Zhegrova a 50 crediti,2025-09-04,25-26
262,Ac Ciaccati acquista Bailey a 25 crediti,2025-09-04,25-26
263,Diablitos FC acquista Sportiello a 1 credito,2025-09-04,25-26
264,Ac ciaccati acquista Joao Mario a 1,2025-09-04,25-26
265,Ac ciaccati acquista Karlstrom a 1,2025-09-04,25-26
267,Baby Reijnders acquista Semper a 1 crediti,2025-09-05,25-26
268,Cyberducks riceve 0 crediti per la cessione in prestito di Bennacer alla Dinamo Zagabria,2025-09-05,25-26
269,Baby Reijnders acquista Kostic a 1 credito,2025-09-05,25-26
270,Sborada acquista Perrone a 20 crediti,2025-09-05,25-26
271,Cyberducks acquista Akanji a 14 crediti,2025-09-05,25-26
272,Baby Reijnders acquista Zalewski a 23 crediti,2025-09-05,25-26
274,Sborada svincola Noslin pagando 3 crediti,2025-09-08,25-26
275,Sborada acquista Giovane ad 1 credito,2025-09-10,25-26
277,Diablitos FC acquista Pedersen a 1,2025-09-10,25-26
282,Sborada svincola payero al costo di 2 crediti,2025-09-20,25-26
283,Sborada acquista Orban a 5 crediti,2025-09-23,25-26
284,AC Ciaccati acquista Ellertsson a 1 credito,2025-09-29,25-26
285,FC Pontos acquista Sulemana a 9 crediti,2025-10-01,25-26
286,AC Ciaccati acquista Celik a 1 credito,2025-11-25,25-26
287,Diablitos FC acquista Muric a 1 credito,2026-01-01,25-26
288,Diaolo Porco riceve 29 crediti per la cessione di Castelanos al West Ham,2026-01-05,25-26
290,Diaolo Porco acquista Simeone per 3 crediti,2026-01-10,25-26
291,Sborada riceve 1 credito per la cessione di urbanski al Legia Varsavia,2026-01-13,25-26
292,Diaolo Porco acquista Taylor per 36 crediti,2026-01-18,25-26
293,AC Ciaccati svincola Anjorin per 1 credito,2026-01-19,25-26
294,Sborada riceve 2 crediti per la cessione di Tavsan,2026-01-20,25-26
296,Sborada riceve 0 crediti per la cessione di Martinelli in prestito alla Sampdoria,2026-01-21,25-26
40,Cyberducks acquistano Lukaku per 36 crediti,2024-08-31,24-25
49,Cyberducks acquistano mcTominay a 25 crediti,2024-09-01,24-25
295,Diablitos FC riceve 0 crediti per la fine del prestito di Viti,2026-01-20,25-26
48,Baby Reijnders acquista Kossounou per 11 crediti,2024-09-01,24-25
73,Baby Reijnders acquista Solet per 3 crediti,2025-01-12,24-25
116,Baby Reijnders acquista shomorudov per 4 crediti,2025-02-05,24-25
120,Baby Reijnders acquista fadera per 9 crediti,2025-02-06,24-25
121,Baby Reijnders acquista djuric per 2 crediti,2025-02-06,24-25
220,Baby Reijnders acquista Stanciu a 8 crediti,2025-08-23,25-26
122,Cyberducks promuove Fazzini dalla primavera alla prima squadra,2025-06-14,24-25
15,Scambio ufficiale: Diablitos FC riceve Suslov + 13 crediti; Baby Reijnders riceve Pavlovic,2024-08-17,24-25
242,FC Pontos riceve 1 credito per la cessione di Beltran in prestito al Valencia,2025-09-02,25-26
244,FC Pontos riceve 0 crediti per la cessione in prestito di Karlsson al Aberdeen,2025-09-02,25-26
279,FC Pontos acquista Angori ad 1,2025-09-11,25-26
237,FC Sovescio riceve 1 credito per la cessione in prestito di Nico Gonzalez all'Atletico di Madrid,2025-09-01,25-26
238,FC Sovescio non riceve alcun credito per la cessione in prestito di Bianco al Paok,2025-09-01,25-26
251,FC Sovescio acquista vrackx a 1,2025-09-02,25-26
231,Metodo Monchi FC acquista Hermoso a 1 credito,2025-08-30,25-26
250,Scambio prestiti con obbligo (3cr): Diablitos FC riceve Hermoso; Metodo Monchi FC riceve Troilo,2025-09-02,25-26
253,Metodo Monchi FC acquista Butez a 7 crediti,2025-09-02,25-26
276,Metodo Monchi FC acquista Provstagaard per 1 credito,2025-09-10,25-26
278,Metodo Monchi FC acquista Masini per 1 credito,2025-09-11,25-26
281,Metodo Monchi FC acquista Heggem a 4 crediti,2025-09-20,25-26
273,Zerodayz FC acquista Vardy a 1 credito,2025-09-07,25-26
135,Scambio: Cyberducks riceve Piccoli; Sborada riceve Del Prato,2025-07-01,25-26
138,Cyberducks acquista Ghilardi per 6 cr,2025-07-04,25-26
216,Cyberducks riceve 0 crediti per la cessione in prestito di Godfrey allo Sheffield,2025-08-22,25-26
243,Cyberducks riceve 3 crediti per la cessione in prestito di Pavard al Marsiglia,2025-09-02,25-26
280,Cyberducks acquista van der Brempt a 1 crediti,2025-09-12,25-26
9,La squadra Diablitos FC acquista Birindelli ad 1,2024-08-15,24-25
23,La squadra Diablitos FC acquista Turati per 1 credito,2024-08-25,24-25
30,La società Diablitos FC riceve 2 crediti per il prestito di Musso,2024-08-27,24-25
34,Scambio: Diablitos FC riceve prestito oneroso (1cr) con dr (2cr) Pierret da ZeroDayz FC,2024-08-30,24-25
39,Scambio: Diablitos FC riceve Ferguson; Sborada riceve Kolasinac + 11 crediti,2024-08-31,24-25
41,Diablitos FC acquista Rui Patricio per 1 credito,2024-08-31,24-25
42,Diablitos FC acquista Ranieri a 1 credito,2024-08-31,24-25
179,Diablitos FC acquista Bernardeschi ad 1 credito,2025-08-01,25-26
127,"Riepilogo FC Pontos: Svincoli (Osorio, Caprari), Promozioni (Shpendi), Cessioni (Kyriakopoulos, Walker)",2025-07-01,25-26
139,FC Pontos acquista Bertola per 11 crediti,2025-07-05,25-26
227,FC Pontos riceve 1 credito per la cessione all'Antalyaspor di Giannetti,2025-08-30,25-26
126,"Riepilogo FC Sovescio: Svincoli (Mazzocchi, Almquist, Vitinha), Promozioni (Bondo), Cessioni (Le Fee, Reijnders...)",2025-07-01,25-26
145,FC Sovescio acquista Doig a 1 credito,2025-07-09,25-26
146,FC Sovescio acquista Rensch a 1 credito,2025-07-09,25-26
147,FC Sovescio riceve 25 crediti per la cessione di Theo Hernandez al Al-Hilal,2025-07-10,25-26
195,FC Sovescio acquista Jashari a 31 credti,2025-08-09,25-26
213,FC Sovescio acquista Walukiewicz a 5 crediti,2025-08-22,25-26
223,"Ac ciaccati cede Dele Bashiru in prestito a FC Sovescio (20cr, obbligo 5cr)",2025-08-25,25-26
